Intercept,VSS,VES,VCV
0.848602299980369,0.095171900744709,0.200718275369282,-0.0374680166693099
0.838984803362009,0.0987489409744014,0.193827645261833,-0.035377085399551
0.838606960721327,0.101825619787559,0.187978092214299,-0.0416183387078514
0.836778072637051,0.0978018346175251,0.196603754055354,-0.0322792059651069
0.838538416056061,0.0987870473833122,0.19431940296841,-0.0369071284477262
0.84986558924049,0.0977738049332652,0.204412086901759,-0.032882540840326
0.84268574511675,0.0917205838355247,0.209284871162808,-0.0293535720371513
0.836042180146795,0.101271805416406,0.186192917537086,-0.0415913988342671
0.849549310283867,0.0989627610295647,0.202963860174746,-0.0332566667079095
0.842327208649267,0.0990171191329872,0.196636023413422,-0.0340319124232269
0.842900517470197,0.0961569042679912,0.19792079070721,-0.034169817720791
0.829073081848082,0.101352339774069,0.182483748453597,-0.0393641526454243
0.841317128680902,0.0977749664568119,0.197926234522677,-0.0315077190977589
0.842283677817458,0.0959097855793367,0.198967853551899,-0.0394172797721681
0.829987524858865,0.101942985979203,0.181970557531855,-0.0458613556936796
0.841198275275721,0.0976370113489513,0.197936272673132,-0.0366391375533409
0.840962292905958,0.094196413246486,0.200758309928216,-0.0338281571798246
0.83477546948007,0.0981973986468755,0.195462891570615,-0.0348591928363346
0.840060967161003,0.0993340048556392,0.192577857201714,-0.0380771189751905
0.837733498939463,0.0938800235591935,0.19923873228649,-0.0360482810348556
0.836661985392157,0.0976123841108115,0.19585196689849,-0.0358439838446846
0.832413402225921,0.0999092367486242,0.188369693419676,-0.0385457143175778
0.83715060785186,0.10004034531919,0.187369590293594,-0.0421747661939969
0.8430326765883,0.0933501628757101,0.20583928514227,-0.0317109033747858
0.840636071040497,0.0975682714914688,0.198058870116471,-0.0369581567985133
0.845211652553549,0.0951082323404369,0.200962597145158,-0.0372508196302817
0.839272273554076,0.093368397858152,0.203570872363466,-0.0304993755890807
0.840430153358748,0.0935948327293979,0.202530985144991,-0.0337229918942159
0.842475865920139,0.10106623554927,0.190965554779152,-0.0422643280178579
0.844896826114918,0.0915158976213489,0.209004480067984,-0.0302207048793526
